"","Col0.1","Col0.2","Col0.3","Col0.4","Col0.5","Col0.6","Col0.7","Col0.8","Col0.9","Col0.10","Col0.11","Col0.12","Col0.13","Col0.14","Col0.15","Col0.16","Col0.17","tt4.1","tt4.2","tt4.3","tt4.4","tt4.5","tt4.6","tt4.7","tt4.8","tt4.9","tt4.10","tt4.11","tt4.12","tt4.13","tt4.14","tt4.15","tt4.16","tt4.17","tt4.18","tt4.19","tt4.20","mto1.1","mto1.2","mto1.3","mto1.4","mto1.5","mto1.6","mto1.7","mto1.8","mto1.9","mto1.10","mto1.11","mto1.12","mto1.13","mto1.14","mto1.15","mto1.16"
"Lactate",154.4503,112.5848,138.5274,125.3818,147.7365,112.6898,123.7521,128.2575,93.9814,262.3554,131.2507,195.7451,966.0715,322.7265,554.7067,92.3799,140.8933,104.2205,112.0985,168.7353,158.1844,158.7704,120.8743,95.0187,223.1673,110.4732,118.4404,87.4284,114.1561,123.2489,129.6771,79.6485,93.4827,127.0117,89.5888,78.044,120.6807,159.9901,133.9408,154.5291,115.8634,138.8115,208.4509,108.2805,98.4098,139.6859,143.5967,104.4934,120.804,136.2793,139.2424,163.7652,110.1211
"Succinate",1749.943,1698.64,1851.7732,1541.2607,1754.0493,1788.6039,1648.1241,1666.8674,1634.8715,1721.4275,1769.5781,1668.8819,1708.6854,1898.1409,1568.7464,1655.9801,1614.391,1575.9735,1638.0913,1728.5505,1664.9491,1545.6228,1699.689,1688.9489,1630.5995,1686.4667,1612.2808,1662.3931,1778.9681,1114.0422,1815.9219,1550.4657,1581.1849,1617.9891,1763.3123,1582.2443,1611.743,1634.7748,1632.9559,1717.0313,1560.4184,1538.0359,1534.9883,1617.3349,1524.301,1498.7158,1621.1345,1583.8224,1598.2235,1503.9476,1651.1369,1386.4783,1563.8967
"Raffinose",60.4121,92.0729,38.3696,47.0475,53.755643,45.6398,53.40195,35.8046,15.8948,55.993614,59.2673,52.6623,53.08052,0,56.493002,63.79259,52.11416,35.4263,42.80282,52.0525,74.3559,45.185,55.0174,51.781083,47.106049,38.8397,50.4122,56.6618,48.671987,32.8532,57.25827,45.1368,43.8993,41.4519,65.5993,56.3945,48.9306,56.1676,42.083,39.0745,25.08244,30.69847,43.2559,71.2619,51.2389,39.8547,68.1996,65.2546,47.0969,55.77905,55.74399,40.1104,45.9018
"Shikimate",40.781,44.2639,39.3523,35.6382,42.371,39.301,32.8657,37.9386,35.0617,34.5625,38.2188,39.6859,35.4998,38.8669,39.8476,38.1634,36.6302,29.9422,31.5035,33.476,35.6703,33.542,44.7268,37.8194,34.7157,34.1795,28.3376,34.6016,29.3318,29.3391,35.1927,34.7869,27.0445,32.7241,37.7017,30.8667,26.7807,38.385,33.9517,36.0015,30.8426,28.4146,35.9306,41.8325,30.3997,25.038,39.6469,33.9817,34.729,30.7384,32.8404,36.7704,35.4436
"Ethanolamine",134.9301,204.993,130.4001,139.7308,160.7913,113.2497,114.9885,114.3766,114.09,109.5251,100.0837,118.8973,128.1922,154.5297,133.1924,99.6721,111.0053,131.4604,120.7082,141.1074,139.4414,138.3012,158.7883,135.0934,122.2414,127.7104,125.421,182.7191,111.5504,112.072,153.5675,139.7274,113.8267,164.788,150.2859,119.3132,95.3459,132.304,410.4902,323.0563,140.0267,153.8771,315.8128,179.0992,139.4166,100.9658,127.8745,141.9232,162.5724,139.7001,131.8599,127.2672,136.1331
"Phosphate",3107.6597,3450.8379,3058.4137,2987.0476,3541.4813,3032.5204,3255.8401,2431.4922,3033.22,3140.0716,3412.3732,3566.7388,3174.752,3250.4193,3264.145,3040.4872,3055.5204,2763.3264,2383.374,3206.1875,3338.2868,3114.0734,3904.3794,3458.2575,3117.2769,3212.4125,2903.9193,3087.2861,2918.4746,2572.3414,3490.5494,2682.9559,2657.1481,3107.1565,3440.8014,3105.1428,2811.2654,2453.4088,2862.6657,2798.0377,2655.5073,1976.4599,2883.3871,2391.6366,2307.8021,2122.3331,2863.2239,2445.9017,2539.9736,2467.104,2749.7592,2683.5357,3060.767
"Inositol-1-phosphate",69.7737,62.4132,68.1981,59.527,78.871,59.1176,48.7477,46.666,58.5564,58.7443,63.3983,62.4342,59.366,71.9036,71.4956,57.7136,60.0935,44.3657,43.1944,54.1761,62.1525,59.6405,76.4013,68.3508,54.7691,59.3346,47.8534,53.974,54.7766,57.6506,51.8867,53.0098,42.6778,52.9496,55.0124,49.0538,39.5669,56.7789,61.391,63.4032,56.49,47.3516,69.1401,63.0045,52.4642,42.9734,67.0166,51.6762,57.3947,57.7553,59.428,70.3746,65.4994
"Galactinol",75.4984,97.3238,80.49,70.3283,95.2138,77.8495,68.6434,57.6419,70.9818,61.4064,70.9736,90.5696,81.264,88.9637,61.2923,68.6992,79.8028,67.7217,60.9295,82.9402,85.7085,66.6347,83.844,79.5969,61.0481,84.2817,73.1125,92.7536,79.042,72.4784,93.5496,66.0399,64.0616,85.5851,90.4149,82.1833,68.9375,75.9137,72.8437,83.443,64.8199,48.8142,65.9679,73.4153,65.7776,54.0589,77.6579,66.5841,63.6369,68.5909,69.3085,66.4633,68.2674
"beta-Alanine",261.8278,324.531,318.546,272.9013,383.4332,320.8791,234.7392,270.5347,229.01,231.1635,229.2021,277.519,266.1857,290.6938,260.3783,259.7739,256.6688,214.1635,206.5979,322.5515,256.5049,226.7546,309.1282,255.0231,213.363,263.4958,190.6166,247.264,210.0914,158.5568,218.0777,171.1459,178.6727,238.2327,248.0622,201.6434,168.3281,266.1805,313.0469,284.8813,253.6996,178.5122,242.8642,300.2352,219.1203,164.3849,245.8808,191.7019,211.5302,161.143,215.9094,228.4601,250.9284
"Isoleucine",62.7408,81.5027,67.4018,52.0787,70.2466,61.4398,58.2055,65.1183,52.6684,38.8588,41.7322,51.081,47.0735,48.7309,50.6074,49.5428,53.3718,50.8772,51.4054,70.8598,57.4798,51.6268,71.9352,57.3819,50.1134,59.2949,50.9901,46.4185,44.767,35.5713,56.1035,42.6547,42.178,55.2492,54.5932,52.3419,44.5543,68.3071,71.2176,98.9285,70.3502,51.9962,61.5192,70.3719,62.7585,42.9625,53.549,48.2668,52.5808,48.4911,52.6937,51.1576,58.3965
